Date,Price,MarketCap,TotalVolume,Currency
01/08/2023,0.999941596,1.09193E+11,25377039033,tether
02/08/2023,0.999241913,1.07532E+11,23643854095,tether
03/08/2023,0.998679854,1.01735E+11,17894208327,tether
04/08/2023,0.998912495,95013382681,11293689346,tether
05/08/2023,0.998986926,92449599680,8632620439,tether
06/08/2023,0.998319842,95097398487,11345706294,tether
07/08/2023,0.998873153,1.06178E+11,22713171470,tether
08/08/2023,0.999945498,1.08729E+11,25194087094,tether
09/08/2023,0.999712008,1.02264E+11,18767301829,tether
10/08/2023,0.998898981,94335728380,10890096034,tether
11/08/2023,0.998937921,91498560837,8184751224,tether
12/08/2023,0.999377198,92544440852,9189020282,tether
13/08/2023,0.999383639,92557425568,9254138041,tether
14/08/2023,0.998712649,96115848321,12792365655,tether
15/08/2023,0.998599554,1.00808E+11,17536415113,tether
01/08/2023,1.002543368,31646375572,5326107234,usd-coin
02/08/2023,0.999738116,30686286143,4492429904,usd-coin
03/08/2023,0.999628523,47957944940,21863112794,usd-coin
04/08/2023,1.000424854,29443697152,3411266718,usd-coin
05/08/2023,0.999844277,27716068813,1675708346,usd-coin
06/08/2023,0.999813518,27917691180,1874548744,usd-coin
07/08/2023,1.000072672,29758006060,3622888391,usd-coin
08/08/2023,1.000084807,30062995707,3754964287,usd-coin
09/08/2023,1.000001954,29301201056,3016939903,usd-coin
10/08/2023,0.999861392,28356165446,2203564212,usd-coin
11/08/2023,1.00026938,27691732695,1575234195,usd-coin
12/08/2023,0.999880071,27404362985,1242418456,usd-coin
13/08/2023,0.999980668,27862410096,1681826724,usd-coin
14/08/2023,0.999688443,28466245512,2461885540,usd-coin
15/08/2023,0.999966755,28963035879,3000680916,usd-coin
01/08/2023,1.001112835,4295772970,186014607,dai
02/08/2023,0.999104347,4201242929,119632905,dai
03/08/2023,1.000119125,4185037084,131679594,dai
04/08/2023,1.000540259,4238872146,209794476,dai
05/08/2023,1.000330103,4167383439,132508117,dai
06/08/2023,0.999869996,4186566317,150551791,dai
07/08/2023,0.999634802,4163697939,133325065,dai
08/08/2023,1.000069136,4240302598,197100142,dai
09/08/2023,1.000128597,4185898939,136657145,dai
10/08/2023,0.99973843,4098192739,92653749,dai
11/08/2023,0.999724504,4041175733,74527928,dai
12/08/2023,0.999729678,4076011787,68155296,dai
13/08/2023,1.000150462,4065232987,72469695,dai
14/08/2023,0.999848973,4036640093,70684965,dai
15/08/2023,0.999482143,4012775128,89078018,dai
